Disease,Description
Psoriasis,"A chronic skin condition causing skin redness and irritation. Thick, red skin with flaky, silver-white patches."
Varicose Veins,"Enlarged, twisted veins often in the legs and feet. Caused by weakened valves and veins in your legs."
Typhoid,"A bacterial infection leading to high fever, diarrhea, and vomiting. Caused by Salmonella typhi."
Chicken pox,"A viral infection causing an itchy, blister-like rash. Highly contagious to those not vaccinated or previously infected."
Impetigo,"A highly contagious skin infection that causes red sores on the face, especially around a child's nose and mouth, and on hands and feet."
Dengue,A mosquito-borne viral infection causing severe flu-like symptoms. Can develop into severe dengue.
Fungal infection,"An infection caused by a fungus, affecting skin, nails, or lungs. Examples include athlete's foot and yeast infections."
Common Cold,A viral infection of nose and throat. Symptoms usually include a runny or stuffy nose and sore throat.
Pneumonia,"An infection inflaming the air sacs in one or both lungs. Can cause cough with phlegm or pus, fever, chills, and breathing difficulty."
Dimorphic Hemorrhoids,Swollen and inflamed veins in the rectum and anus causing discomfort and bleeding.
Arthritis,"Inflammation of one or more joints, causing pain and stiffness that can worsen with age."
Acne,"A skin condition with plugged hair follicles leading to whiteheads, blackheads or pimples."
Bronchial Asthma,"Airways narrow and swell and may produce extra mucus, making breathing difficult and triggering coughing, wheezing, and shortness of breath."
Hypertension,"High blood pressure, a condition with persistently raised pressure in the blood vessels."
Migraine,"A headache of varying intensity, often accompanied by nausea and sensitivity to light and sound."
Cervical spondylosis,Age-related wear and tear affecting spinal disks in the neck.
Jaundice,"Yellowing of the skin and eyes, a sign of increased bilirubin in the blood."
Malaria,A life-threatening disease caused by parasites transmitted through mosquito bites.
urinary tract infection,"An infection in the urinary system, often involving the bladder and urethra."
allergy,Immune system reacts abnormally to a foreign substance.
gastroesophageal reflux disease,A chronic digestive disease where stomach acid irritates the food pipe lining.
drug reaction,"An unexpected reaction to a drug, ranging from mild allergic reactions to severe responses."
peptic ulcer disease,Painful sores or ulcers in the lining of the stomach or the first part of the small intestine.
diabetes,"A chronic condition affecting how the body turns food into energy. Includes several types like Type 1, Type 2, and gestational."
